FACILITY_NAME,FACILITY_ADDRESS,CITY_CODE,STATION_NUMBER,ENGINE,RESCUE,TRUCK,BATTALION,CAPABILITI,OTHER_UNIT,CONSTRUCTION_YEAR,LONG,LAT,ObjectId
STATION 1 - CLV,500 N CASINO CENTER BLVD,CLV,1,"1,201,301",1201301,1,1,ALS &ILS,"BAT1, Eng401&501,Res401,501,601,100,Sqaud1,ILS1,HR",6/23/1984,-115.140593127,36.175146676,1
STATION 1 - BC,1101 ELM AV,BC,1,"121,122",,121,12,,SQUAD/AMBULANCE,1960,-114.846853823,35.9714658508,2
STATION 2 - CLV,900 S DURANGO DR,CLV,2,2,2,,10,ALS,BAT10,12/1989,-115.278455577,36.161595835,3
STATION 3 - CLV,2645 W WASHINGTON AV,CLV,3,"3,203",3,3,1,ALS,CBRN3,12/18/1980,-115.177233538,36.1806555367,4
STATION 4 - CLV,421 S 15TH ST,CLV,4,"4,204",4204,4,1,ALS & ILS,ILS4,12/1989,-115.131524251,36.1599434446,5
STATION 5 - CLV,1020 HINSON ST,CLV,5,"5,205,555",5,,10,ALS,"EMS1,ILS5",9/11/2004,-115.195484954,36.1601330962,6
STATION 6 - CLV,1680 S TORREY PINES DR,CLV,6,"6,300",6,6,10,ALS,,1962,-115.233791247,36.1527281844,7
STATION 7 - CLV,10101 BANBURRY CROSS DR,CLV,7,7,7,7,10,ALS,,4/22/1995,-115.315397068,36.1817899067,8
STATION 9 - CLV,4747 N RAINBOW BLVD,CLV,9,9,9,9,4,ALS & ILS,WT9,4/1995,-115.242631993,36.2473745406,9
STATION 10 - CLV,1501 S MARTIN L KING BLVD,CLV,10,"10,299",10210,,1,ALS,,7/22/2002,-115.163677835,36.1544188095,10
STATION 11 - CC,5150 S LAS VEGAS BLVD,CC,11,11,11211311,11,2,ALS,"R711,R811,R911",1/1/1954,-115.173809827,36.0832988806,11
STATION 13 - CC,5747 WAYNE NEWTON BLVD,CC,13,RedDogs,13,,2,ALS,SQUAD13,1956,-115.156603729,36.0824588841,12
STATION 14 - CC,3260 TOPAZ ST,CC,14,"14,214",14,,3,ALS,AIR RESCUE14,,-115.113659314,36.1307886409,13
STATION 15 - CC,3480 S VALLEY VIEW BLVD,CC,15,"15,115",15,,2,ALS,,1965,-115.189799399,36.1271001413,14
STATION 61 - CC,150 N. NELLIS BLVD.,CC,61,61,,,3,ALS,,1959,-115.06169925,36.1616587547,15
STATION 17 - CC,5110 ANDOVER DR,CC,17,17,17,17,3,ALS,,1967,-115.050372881,36.0965596001,16
STATION 18 - CC,575 E FLAMINGO RD,CC,18,"18,218",1829218318,18,2,ALS,"BAT2,R818,R918",1967,-115.15090827,36.1142494366,17
STATION 19 - CC,5575 SPENCER ST,CC,19,19,19,,2,ALS,"REHAB19,AIR RESCUE19",1975,-115.128419644,36.0888285167,18
STATION 20 - CC,5865 JUDSON AV,CC,20,20,20120,,3,ALS,,1975,-115.044241062,36.1993159634,19
STATION 21 - CC,5015 W OQUENDO RD,CC,21,21,21821921,21,6,ALS,"HEAVY RESCUE21,BAT7",,-115.209403036,36.0822562719,20
STATION 22 - CC,6745 W FLAMINGO RD,CC,22,"22,222",22,22,6,ALS,,1981,-115.238736398,36.1140859073,21
STATION 24 - CC,7525 DEAN MARTIN DR,CC,24,"24,224",24,24,6,ALS,HAZMAT24,1991,-115.18403425,36.0530828532,22
STATION 25 - CC,5210 S PECOS RD,CC,25,"25,125",25,,3,ALS,,1998,-115.100479046,36.095423171,23
STATION 27 - CC,4695 VEGAS VALLEY DR,CC,27,27,2722761,,3,ALS,"BAT3,R927",6/27/2002,-115.072495682,36.1364929896,24
